Subbasin,FRST %,AGRL %,Av_PERCO,Av_WYLD,Av_SURQ,Av_LATQ,Av_GWQ,Av_SYLD,Av_TN,Av_TP
1,81,18.5,192,759.17071,23.96,492.48,230.12,255.4,2.5,1.47
2,94,6.2,186,873.93771,9.88,663.8,189.98,113.45,3.1,1.21
3,93.9,5.6,179,761.23871,24.22,529.81,196.37,275.21,3.28,1
4,95.1,4.2,147,877.22657,9.69,713.97,145.58,118.28,3.44,1.45
5,56.9,40.8,250,777.09314,24.91,408.04,326.69,181.6,5.25,2.75
6,70.9,26.6,281,772.49029,20,384.43,349.45,94.27,3.57,2.18
7,14.6,77.9,312,792.30471,358.58,158.32,261.19,1755.1,9.86,5.75
8,13.4,76.4,378,807.899,337.77,127.87,324.84,1222.7,6.91,5.21
9,24.6,72.7,360,800.16286,311.5,162.36,309.64,1414.13,6.48,4.75
10,40.8,51.6,374,804.03114,282.97,178.02,325.58,1427.73,5.92,3.73
11,24.2,65,338,810.27357,361.81,143.78,289.06,1588.26,7.35,4.83
12,49.7,46.3,363,809.33057,253.73,221.46,317.11,1497.17,5.14,2.93
13,41.8,52.2,377,799.82143,282.79,170.9,328.51,1315.42,5.44,3.63
14,54,41.6,439,875.84571,251.52,208.22,395.19,1204.59,4.7,3.02
15,42.1,49.2,322,805.55871,287.51,228.1,275.04,1732.55,7.17,3.91
16,13.4,84.3,478,878.76543,328.66,100.68,426.91,1168.33,6.66,5.29
17,26.6,70.8,357,816.27743,305.48,187.02,307.23,1811.08,7.28,4.44
18,26.3,50.7,338,814.734,300.88,207.8,290.37,1421.77,5.66,3.36
19,27.7,66.1,467,932.28757,328.61,165.09,416.55,1275.01,7.44,5.1
20,23.5,69.6,402,866.06243,327.85,163.61,355.7,1488.11,8.82,5.46
