Subbasin,FRST %,AGRL %,Av_PERCO,Av_WYLD,Av_SURQ,Av_LATQ,Av_GWQ,Av_SYLD,Av_TN,Av_TP
1,20.7,44.2,295.34,723,246,200,262,459,6.05,3.47
2,14.9,67.6,310,700,283,126,276,361.67,9.79,6.32
3,22.5,64.4,302.54,727,247,197,269,404.73,6.56,3.96
4,55.7,34.9,402.92,686,173,130,364,348.43,5,2.72
5,29.6,61.1,326.2,724,244,172,291,356.7,7.1,4.29
6,46.5,46.4,185.39,495,149,180,158,250.2,5.65,3.11
7,50.6,41.3,356.91,681,189,154,320,339.87,5.23,3.13
8,15.2,78.6,341.29,718,255,141,306,307.3,7.72,4.78
9,69.4,15.8,210.53,562,104,266,182,288.57,2.98,1.03
10,32.7,9,316.59,728,239,191,282,264.33,7.73,3.76
11,68.6,26.9,409.32,680,137,154,370,287.39,3.1,1.23
12,66.7,14.8,335.41,540,111,113,300,178,2.39,1.55
13,72.7,18.7,305.94,701,157,257,272,344.48,3.89,1.67
14,55.6,41,307.39,716,199,229,273,351.37,5.46,2.9
15,86.8,6,351.37,688,132,224,315,305.11,2.67,0.88
16,72,22,303.33,694,159,251,270,341.53,4.3,1.62
17,76.8,9.1,405.66,679,133,160,367,280.29,2.23,0.87
18,53.7,36.5,221.6,577,161,213,192,293.87,4.57,2.41
19,65,29.9,440.49,849,214,214,399,334.46,3.84,2.4
20,44.2,53.5,428.61,863,278,177,388,321.61,5.66,3.49
21,67.4,26.7,196.8,568,123,267,169,303.68,3.44,1.56
22,52.3,34.6,227.46,562,164,189,198,236.14,5.03,2.77
23,86.1,9.2,176,499,98,244,149,231.46,3.11,1.19
24,78.2,19.4,531,821,146,165,485,379.15,2.3,1.37
25,91.6,6.8,302.44,715,128,303,269,417.04,2.39,0.8
26,58,37.3,451.64,868,247,189,410,274.46,4.84,3.19
